브랜드,본부,팀,대분류,중분류,소분류,계정과목,금액,년월,비고
공통,Business Development,Business Development,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,110.24,202405,
공통,Business Development,Business Development,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,749.6,202405,
공통,Business Operation,Business Operation,기타,사무용품비,소모품비_사무용품,소모품비_사무용품,70.8,202405,
공통,Business Operation,Business Operation,복리후생비,주재원,복리후생비_외국인직원복리,복리후생비_외국인직원복리,39256.37,202405,
공통,Business Operation,Business Operation,출장비,국내출장비,여비교통비_국내출장비,여비교통비_국내출장비,-4608.0,202405,
공통,Business Operation,Business Operation,출장비,해외출장비,여비교통비_해외출장비,여비교통비_해외출장비,16315.37,202405,
공통,Business Plan,Business Plan,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,883.28,202405,
공통,Business Plan,Business Plan,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,-12.9,202405,
공통,Business Plan,Business Plan,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,7685.0,202405,
공통,Business Plan,Business Plan,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,16496.47,202405,
공통,Business Plan,Business Plan,인건비,"급여,성과급",인건비,인건비,106040.0,202405,
공통,IT,IT,감가상각비,비품,감가상각비_공기구비품,감가상각비_공기구비품,36.88,202405,
공통,IT,IT,감가상각비,비품,감가상각비_기계장치,감가상각비_기계장치,39099.33,202405,
공통,IT,IT,감가상각비,소프트웨어,감가상각비_소프트웨어,감가상각비_소프트웨어,120700.8,202405,
공통,IT,IT,감가상각비,소프트웨어,감가상각비_홈페이지등,감가상각비_홈페이지등,1185.68,202405,
공통,IT,IT,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,248.25,202405,
공통,IT,IT,기타,사무용품비,소모품비_사무용품,소모품비_사무용품,4400.0,202405,
공통,IT,IT,기타,시내교통비,여비교통비_시내교통비,여비교통비_시내교통비,4.35,202405,
공통,IT,IT,복리후생비,공적금,복리후생비_공적금,복리후생비_공적금,20202.0,202405,
공통,IT,IT,복리후생비,기타 복리후생비,복리후생비_복리,복리후생비_복리,1305.2,202405,
공통,IT,IT,복리후생비,사회보험,복리후생비_사회보험,복리후생비_사회보험,43365.75,202405,
공통,IT,IT,복리후생비,식대,복리후생비_식대,복리후생비_식대,40.0,202405,
공통,IT,IT,인건비,"급여,성과급",인건비,인건비,340497.33,202405,
공통,IT,IT,지급수수료,지급수수료(중),지급수수료_지급용역료,지급수수료_지급용역료,508503.22,202405,
공통,MD,MD,기타,물류비,지급수수료_퀵서비스,지급수수료_퀵서비스,147.88,202405,
